time,heading,gps_heading,speeed,gspeed,gear
1684583251.7118814,63.270193253751245,63.270193253751245,0.0,0.0288,0
1684583251.731422,63.26978765440623,63.26978765440623,0.0,0.0288,0
1684583251.7515917,63.269268202602746,63.269268202602746,0.0,0.0288,0
1684583251.7715907,63.26884236188931,63.26884236188931,0.0,0.0288,0
1684583251.7922397,63.267807112256406,63.267807112256406,0.0,0.0288,0
1684583251.811486,63.277560345576916,63.277560345576916,0.0,0.0288,0
1684583251.8321462,63.27668487096625,63.27668487096625,0.0,0.0288,0
1684583251.8518853,63.275687075315005,63.275687075315005,0.0,0.0288,0
1684583251.8716006,63.28487216071929,63.28487216071929,0.0,0.0288,0
1684583251.8921402,63.276889513028436,63.276889513028436,0.0,0.0288,0
1684583251.9114723,63.28602883401305,63.28602883401305,0.0,0.0288,0
1684583251.9316661,63.28520921957127,63.28520921957127,0.0,0.0288,0
1684583251.9518437,63.29447844157684,63.29447844157684,0.0,0.0288,0
1684583251.9714425,63.29379276992239,63.29379276992239,0.0,0.0288,0
1684583251.9913301,63.30263573594863,63.30263573594863,0.0,0.0288,0
1684583252.0118208,63.301400973278305,63.301400973278305,0.0,0.0288,0
1684583252.0317407,63.31025069304539,63.31025069304539,0.0,0.0288,0
1684583252.0518603,63.3191429513312,63.3191429513312,0.0,0.0288,0
1684583252.0718002,63.327993790869016,63.327993790869016,0.0,0.0288,0
1684583252.0916557,63.31941246857784,63.31941246857784,0.0,0.0288,0
1684583252.1122322,63.32826216276058,63.32826216276058,0.6000000238418579,0.0288,0
1684583252.1314683,63.32685735933603,63.32685735933603,0.6000000238418579,0.0288,0
1684583252.1516316,63.33629769611153,63.33629769611153,0.6000000238418579,0.0288,0
1684583252.1717503,63.32695597285786,63.32695597285786,0.6000000238418579,0.7704,0
1684583252.1913967,63.326394955037614,63.326394955037614,0.6000000238418579,0.7704,0
1684583252.2114415,63.32468447948645,63.32468447948645,0.6000000238418579,0.7704,0
1684583252.2320802,63.333945461262886,63.333945461262886,0.6000000238418579,0.7704,0
1684583252.2515368,63.325509922662235,63.325509922662235,0.6000000238418579,0.7704,0
1684583252.2721965,63.32427853900347,63.32427853900347,0.6000000238418579,0.7704,0
1684583252.291707,63.32281338996677,63.32281338996677,0.6000000238418579,0.7704,0
1684583252.3120465,63.34204499333464,63.34204499333464,1.2000000476837158,0.7704,0
1684583252.3316529,63.350280778500974,63.350280778500974,1.2000000476837158,0.7704,0
1684583252.3517098,63.35833850487336,63.35833850487336,1.2000000476837158,0.7704,0
1684583252.3715796,63.376592547637614,63.376592547637614,1.2000000476837158,0.7704,0
1684583252.392111,63.38428115110489,63.38428115110489,1.2000000476837158,0.7704,0
1684583252.4113202,63.39323595681179,63.39323595681179,1.2000000476837158,0.7704,0
1684583252.4317575,63.401592859324495,63.401592859324495,1.2000000476837158,0.7704,0
1684583252.451773,63.411370912406454,63.411370912406454,1.2000000476837158,0.7704,0
1684583252.4715803,63.42055963747157,63.42055963747157,1.2000000476837158,0.7704,0
1684583252.4917822,63.43984295988642,63.43984295988642,1.2000000476837158,0.7704,0
1684583252.5116458,63.45977125231914,63.45977125231914,1.7999999523162842,0.7704,0
1684583252.5319552,63.476277323814486,63.476277323814486,1.7999999523162842,0.7704,0
1684583252.5517855,63.49655994833219,63.49655994833219,1.7999999523162842,0.7704,0
1684583252.571499,63.51539884228106,63.51539884228106,1.7999999523162842,0.7704,0
1684583252.591723,63.53446471196443,63.53446471196443,1.7999999523162842,0.7704,0
1684583252.612593,63.56223849957098,63.56223849957098,1.7999999523162842,0.7704,0
1684583252.631465,63.589458776150366,63.589458776150366,1.7999999523162842,0.7704,0
1684583252.651859,63.60961430321751,63.60961430321751,1.7999999523162842,0.7704,0
1684583252.6720014,63.62939299006757,63.62939299006757,1.7999999523162842,0.7704,0
1684583252.6913636,63.648676684723426,63.648676684723426,1.7999999523162842,0.7704,0
1684583252.7120402,63.68411076110567,63.68411076110567,2.4000000953674316,0.7704,0
1684583252.7314625,63.70426550649066,63.70426550649066,2.4000000953674316,0.7704,0
1684583252.7513032,63.73032707943281,63.73032707943281,2.4000000953674316,0.7704,0
1684583252.7716959,63.76082411353295,63.76082411353295,2.4000000953674316,0.7704,0
1684583252.7914658,63.790352585068916,63.790352585068916,2.4000000953674316,0.7704,0
1684583252.8118875,63.828125406093335,63.828125406093335,3.0999999046325684,0.7704,0
1684583252.832234,63.865275127046885,63.865275127046885,3.0999999046325684,0.7704,0
1684583252.8514488,63.89530514618971,63.89530514618971,3.0999999046325684,0.7704,0
1684583252.871965,63.93115565228919,63.93115565228919,3.0999999046325684,0.7704,0
1684583252.8918037,63.96114916801565,63.96114916801565,3.0999999046325684,0.7704,0
1684583252.9119394,63.980383752851964,63.980383752851964,3.0999999046325684,0.7704,0
1684583252.931588,64.01862890047775,64.01862890047775,3.0999999046325684,0.7704,0
