time,heading,imu_heading,gps_heading,gspeed,gear
1684844488.8279884,57.994923716166085,152.5545855268595,59.42300999999998,0.706,0
1684844488.8480878,57.93806390269157,152.497725713385,59.42300999999998,0.706,0
1684844488.8677976,57.89059734671113,152.45025915740456,59.42300999999998,0.706,0
1684844488.8879356,57.8429213045182,152.40258311521163,59.42300999999998,0.706,0
1684844488.9081445,57.77869677434697,152.3383585850404,59.42300999999998,0.706,0
1684844488.927713,57.54934000000003,152.2807323744811,57.54934000000003,0.922,0
1684844488.9486039,57.54934000000003,152.21522423866324,57.54934000000003,0.922,0
1684844488.9677901,57.54934000000003,152.1576374389933,57.54934000000003,0.922,0
1684844488.9881408,57.54934000000003,152.11189848608018,57.54934000000003,0.922,0
1684844489.008543,57.54934000000003,152.03743950471758,57.54934000000003,0.922,0
1684844489.027814,57.54934000000003,151.9911343556613,57.54934000000003,0.922,0
1684844489.048483,57.54934000000003,151.93420040820655,57.54934000000003,0.922,0
1684844489.0686207,57.54934000000003,151.87661400005257,57.54934000000003,0.922,0
1684844489.087663,57.54934000000003,151.81943377042316,57.54934000000003,0.922,0
1684844489.1084573,57.54934000000003,151.75320644892741,57.54934000000003,0.922,0
1684844489.1279726,57.481775703134616,151.685642152062,57.54934000000003,0.922,0
1684844489.1478329,57.42407735456993,151.62794380349732,57.54934000000003,0.922,0
1684844489.1680894,57.36721292752671,151.5710793764541,57.54934000000003,0.922,0
1684844489.1875973,57.30241650941966,151.50628295834704,57.54934000000003,0.922,0
1684844489.2081463,57.2462510584071,151.45011750733448,57.54934000000003,0.922,0
1684844489.2287169,57.19921910226782,151.4030855511952,57.54934000000003,0.922,0
1684844489.2480812,57.14199549151036,151.34586194043774,57.54934000000003,0.922,0
1684844489.268001,57.08642457749082,151.2902910264182,57.54934000000003,0.922,0
1684844489.2881203,57.02220886212763,151.226075311055,57.54934000000003,0.922,0
1684844489.3083167,56.96672442396931,151.1705908728967,57.54934000000003,0.922,0
1684844489.3286192,56.90961771401038,151.11348416293777,57.54934000000003,0.922,0
1684844489.3477612,56.84425191424188,151.04811836316927,57.54934000000003,0.922,0
1684844489.368137,56.78655465865353,150.99042110758091,57.54934000000003,0.922,0
1684844489.388343,56.72046887955938,150.92433532848676,57.54934000000003,0.922,0
1684844489.4080925,56.654671977051066,150.85853842597845,57.54934000000003,0.922,0
1684844489.4284117,56.597249047973776,150.80111549690116,57.54934000000003,0.922,0
1684844489.4485438,56.53929898529793,150.74316543422532,57.54934000000003,0.922,0
1684844489.4681005,56.464203298098795,150.66806974702618,57.54934000000003,0.922,0
1684844489.488444,56.40837462405952,150.6122410729869,57.54934000000003,0.922,0
1684844489.5081184,56.35162215472664,150.55548860365403,57.54934000000003,0.922,0
1684844489.5279243,56.2865732591537,150.49043970808108,57.54934000000003,0.922,0
1684844489.5486093,56.23048306410183,150.43434951302922,57.54934000000003,0.922,0
1684844489.5679731,56.17434588227587,150.37821233120326,57.54934000000003,0.922,0
1684844489.5885954,56.11052973048797,150.31439617941535,57.54934000000003,0.922,0
1684844489.6081507,56.054209874126656,150.25807632305404,57.54934000000003,0.922,0
1684844489.6276424,55.99832538190367,150.20219183083105,57.54934000000003,0.922,0
1684844489.6481552,55.932969293225,150.13683574215239,57.54934000000003,0.922,0
1684844489.6678975,55.83890026975928,150.04276671868666,57.54934000000003,0.922,0
1684844489.6880589,55.75514345380111,149.9590099027285,57.54934000000003,0.922,0
1684844489.7081604,55.697842144778946,149.90170859370633,57.54934000000003,0.922,0
1684844489.727795,55.566337492139525,149.7702039410669,57.54934000000003,0.922,0
1684844489.7481232,55.43504517637098,149.63891162529836,57.54934000000003,0.922,0
1684844489.7675798,55.30327929965685,149.50714574858424,57.54934000000003,0.922,0
1684844489.7875655,55.1535325126396,149.357398961567,57.54934000000003,0.922,0
1684844489.808086,54.99486225981008,149.19872870873746,57.54934000000003,0.922,0
1684844489.8280256,54.8549686000552,149.0588350489826,57.54934000000003,0.922,0
1684844489.848264,54.70647514160302,148.9103415905304,57.54934000000003,0.922,0
1684844489.8686118,54.56623077707496,148.77009722600235,57.54934000000003,0.922,0
1684844489.8876874,54.44634965585283,148.6502161047802,57.54934000000003,0.922,0
