time,gps_heading,gspeed
1684813710.1317854,0.0,0.176
1684813710.151956,0.0,0.176
1684813710.1718192,0.0,0.176
1684813710.1918821,0.0,0.176
1684813710.2122457,0.0,0.176
1684813710.231658,0.0,0.176
1684813710.2521858,0.0,0.176
1684813710.2720933,0.0,0.176
1684813710.2921271,0.0,0.176
1684813710.3122058,0.0,0.176
1684813710.3317566,0.0,0.176
1684813710.3521862,0.0,0.176
1684813710.372323,0.0,0.176
1684813710.3918047,0.0,0.176
1684813710.4121075,0.0,0.176
1684813710.4320645,0.0,0.176
1684813710.451847,0.0,0.176
1684813710.472299,0.0,0.176
1684813710.4918668,0.0,0.176
1684813710.5122051,0.0,0.176
1684813710.5320697,0.0,0.176
1684813710.5516803,0.0,0.176
1684813710.572024,0.0,0.176
1684813710.5928147,0.0,0.176
1684813710.6116958,0.0,0.176
1684813710.6325605,0.0,0.176
1684813710.6527412,0.0,0.176
1684813710.6719317,0.0,0.176
1684813710.6925716,0.0,0.176
1684813710.7119784,0.0,0.176
1684813710.7321599,0.0,0.176
1684813710.7523284,0.0,0.176
1684813710.772124,0.0,0.176
1684813710.7922273,0.0,0.176
1684813710.8121462,0.0,0.176
1684813710.8320792,0.0,0.176
1684813710.852539,0.0,0.176
1684813710.8727145,0.0,0.176
1684813710.891898,0.0,0.176
1684813710.9121735,0.0,0.176
1684813710.932514,0.0,0.176
1684813710.9520352,0.0,0.543
1684813710.9726298,0.0,0.543
1684813710.9920151,0.0,0.543
1684813711.0122094,0.0,0.543
1684813711.0321572,0.0,0.543
1684813711.0517676,0.0,0.543
1684813711.0718808,0.0,0.543
1684813711.09281,0.0,0.543
1684813711.111866,0.0,0.543
1684813711.1322517,0.0,0.543
1684813711.1520875,0.0,0.543
1684813711.1719043,0.0,0.543
1684813711.1927145,0.0,0.543
1684813711.2121422,0.0,0.543
1684813711.2322583,0.0,0.543
1684813711.2527177,0.0,0.543
1684813711.271915,0.0,0.543
1684813711.292301,0.0,0.543
1684813711.312104,0.0,0.543
1684813711.3318782,0.0,0.543
1684813711.3525734,0.0,0.543
1684813711.3721075,0.0,0.543
1684813711.3919547,0.0,0.543
1684813711.4126565,0.0,0.543
1684813711.4322164,0.0,0.543
1684813711.452195,0.0,0.543
1684813711.4727392,0.0,0.543
1684813711.4919891,0.0,0.543
1684813711.5122025,0.0,0.543
1684813711.532658,0.0,0.543
1684813711.552084,0.0,0.543
1684813711.5721347,0.0,0.543
1684813711.5919895,0.0,0.543
1684813711.6118321,0.0,0.543
1684813711.6322682,0.0,0.543
1684813711.6518219,0.0,0.543
1684813711.6718786,0.0,0.543
1684813711.6923082,0.0,0.543
1684813711.7120054,0.0,0.543
1684813711.7321124,0.0,0.543
1684813711.752563,0.0,0.543
1684813711.7723105,0.0,0.543
1684813711.7920592,0.0,0.543
1684813711.8127398,0.0,0.543
1684813711.831789,0.0,0.543
1684813711.8520916,0.0,0.543
1684813711.872599,0.0,0.543
1684813711.8921402,0.0,0.543
1684813711.9128294,0.0,0.543
1684813711.9321125,0.0,0.543
1684813711.9521973,0.0,0.543
1684813711.9727523,54.38983999999999,0.78
1684813711.9920456,54.38983999999999,0.78
1684813712.0120354,54.38983999999999,0.78
1684813712.0321074,54.38983999999999,0.78
1684813712.0514724,54.38983999999999,0.78
1684813712.0723026,54.38983999999999,0.78
1684813712.0919142,54.38983999999999,0.78
1684813712.1115217,54.38983999999999,0.78
1684813712.132167,54.38983999999999,0.78
1684813712.1516728,54.38983999999999,0.78
1684813712.171659,54.38983999999999,0.78
1684813712.1921735,54.38983999999999,0.78
1684813712.2117603,54.38983999999999,0.78
1684813712.232018,54.38983999999999,0.78
1684813712.2523837,54.38983999999999,0.78
1684813712.2723866,54.38983999999999,0.78
1684813712.2927222,54.38983999999999,0.78
1684813712.3120701,54.38983999999999,0.78
1684813712.331706,54.38983999999999,0.78
1684813712.3520339,54.38983999999999,0.78
1684813712.3720033,54.38983999999999,0.78
1684813712.3920865,54.38983999999999,0.78
1684813712.4127607,54.38983999999999,0.78
1684813712.4320598,54.38983999999999,0.78
1684813712.4521396,54.38983999999999,0.78
1684813712.4724014,54.38983999999999,0.78
1684813712.491893,54.38983999999999,0.78
1684813712.5126162,54.38983999999999,0.78
1684813712.5320914,54.38983999999999,0.78
1684813712.5518444,54.38983999999999,0.78
1684813712.5727587,54.38983999999999,0.78
1684813712.5922203,54.38983999999999,0.78
1684813712.612163,54.38983999999999,0.78
1684813712.6327186,54.38983999999999,0.78
