time,x,y,gps_heading,gspeed
1684816128.6661217,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.6848953,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.7051103,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.7247822,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.7451322,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.765463,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.7850354,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.8046122,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.8257923,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.8449697,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.865053,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.8849044,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.904569,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.9257388,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.945159,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.965736,6.645076585056499,4.205849620278702,0.0,0.015
1684816128.9857392,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.0053709,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.0260985,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.045862,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.0649774,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.0861533,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.1053588,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.125216,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.1452477,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.1650405,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.1848402,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.2059934,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.22477,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.2451332,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.2652488,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.2855685,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.3059864,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.3257124,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.3461325,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.3658273,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.3855445,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.4047325,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.4258394,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.4446914,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.4659321,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.4858143,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.504793,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.5252235,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.545556,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.5651026,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.5860257,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.605359,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.6251233,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.6447968,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.6658177,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.6862776,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.705327,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.725072,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.7458854,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.7651975,6.645076585056499,4.205849620278702,0.0,0.015
1684816129.785148,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.8046162,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.824645,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.8446324,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.8657906,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.8849974,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.9051085,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.9251733,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.9450977,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.9651904,6.698213000444927,5.226917981106162,0.0,0.027
1684816129.9851346,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.006411,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.025883,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.044694,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.0650933,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.0860014,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.104982,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.1252415,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.1452508,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.164647,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.1852345,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.2052324,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.225776,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.2463067,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.2652016,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.2851534,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.3060222,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.3250499,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.3451242,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.3661435,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.3853476,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.4052165,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.4252193,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.4460166,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.465757,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.485025,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.5055697,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.5257022,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.5452242,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.5661008,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.585389,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.6049051,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.6253586,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.644845,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.6649127,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.6857367,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.7048833,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.725172,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.7451699,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.7652078,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.7852404,6.698213000444927,5.226917981106162,0.0,0.027
1684816130.8047655,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.8257303,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.8460705,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.864935,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.8851013,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.9052572,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.9249089,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.945134,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.9650142,7.034748314770846,5.759649554587548,0.0,0.32
1684816130.9846451,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.0052335,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.0249324,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.0452325,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.0652177,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.0847118,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.1051652,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.125193,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.1446297,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.1660914,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.185026,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.205242,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.2257361,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.2451007,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.2648897,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.285826,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.304913,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.325219,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.3455093,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.3651865,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.3853855,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.4050853,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.4258745,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.4452498,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.464811,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.4851112,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.5050423,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.5249417,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.5450983,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.5655427,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.5852926,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.606127,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.6250656,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.645078,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.665218,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.6847646,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.7051728,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.7251177,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.745036,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.7655106,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.7850468,7.034748314770846,5.759649554587548,0.0,0.32
1684816131.8048406,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.8258255,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.8448417,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.8659558,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.8859892,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.9051313,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.9253983,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.9458892,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.9650705,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816131.9855452,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.0052505,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.0253682,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.045279,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.0647254,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.0846086,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.1058388,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.1246057,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.1452608,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.1650035,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.1852312,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.2061722,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.2250717,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.2460208,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.2651694,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.284897,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.305088,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.3249207,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.34527,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.3651483,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.3855364,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.4061432,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.4251862,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.4445693,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.464915,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.4859202,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.5047083,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.525419,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.5448098,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.5648363,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.5852087,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.6048498,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.6250174,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.6453116,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.6649697,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.6858075,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.7052858,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.7248523,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.746019,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.7647917,7.3624276869121275,5.948325504229281,55.43617999999998,0.584
1684816132.7849689,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.8053122,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.8253827,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.8456044,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.8651907,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.885245,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.9056113,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.9253566,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.9445786,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.9659657,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816132.9852786,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.0061216,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.025906,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.0454996,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.0658212,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.085661,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.1052384,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.1260054,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.1452262,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.1658704,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.1867318,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.205394,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.2249274,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.245216,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.265947,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.2851403,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.3054795,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.3252068,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.345308,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.3647406,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.3856835,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.4057765,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.424817,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.4459364,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.4655907,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.4846556,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.5050943,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.52517,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.5447195,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.5652454,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.5847366,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.6049058,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.62544,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.6451747,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.6659825,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.6853611,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.7052777,7.893799091780965,6.802915779759037,53.730050000000006,0.81
1684816133.726134,7.893799091780965,6.802915779759037,53.730050000000006,0.81
