time,heading,gspeed
1684827085.9954863,56.78655465865353,0.922
1684827086.015765,56.72046887955938,0.922
1684827086.0357616,56.654671977051066,0.922
1684827086.0554006,56.597249047973776,0.922
1684827086.0757835,56.53929898529793,0.922
1684827086.0952475,56.464203298098795,0.922
1684827086.116007,56.40837462405952,0.922
1684827086.1356854,56.35162215472664,0.922
1684827086.1555295,56.2865732591537,0.922
1684827086.1757889,56.23048306410183,0.922
1684827086.1959565,56.17434588227587,0.922
1684827086.2152758,56.11052973048797,0.922
1684827086.235472,56.054209874126656,0.922
1684827086.2553864,55.99832538190367,0.922
1684827086.2753298,55.932969293225,0.922
1684827086.2957888,55.83890026975928,0.922
1684827086.3157077,55.75514345380111,0.922
1684827086.3352122,55.697842144778946,0.922
1684827086.3557494,55.566337492139525,0.922
1684827086.375375,55.43504517637098,0.922
1684827086.395532,55.30327929965685,0.922
1684827086.415404,55.1535325126396,0.922
1684827086.435273,54.99486225981008,0.922
1684827086.4556506,54.8549686000552,0.922
1684827086.4756365,54.70647514160302,0.922
1684827086.4952133,54.56623077707496,0.922
1684827086.5157924,54.44634965585283,0.922
1684827086.5354347,54.316128641270296,0.922
1684827086.555473,55.32211000000001,1.086
1684827086.5759296,55.32211000000001,1.086
1684827086.5952342,55.32211000000001,1.086
1684827086.6153162,55.32211000000001,1.086
1684827086.6357296,55.32211000000001,1.086
1684827086.6550531,55.32211000000001,1.086
1684827086.6753318,55.32211000000001,1.086
1684827086.695504,55.32211000000001,1.086
1684827086.7155108,55.32211000000001,1.086
1684827086.7354336,55.32211000000001,1.086
1684827086.755232,55.21128686918209,1.086
1684827086.7752826,55.10056651225776,1.086
1684827086.7957945,54.98089586382119,1.086
1684827086.8154657,54.87906388187591,1.086
1684827086.835245,54.76887424816829,1.086
1684827086.8554022,54.658689983546026,1.086
1684827086.8749301,54.557631594339654,1.086
1684827086.8957987,54.45719349948257,1.086
1684827086.915591,54.36525787969046,1.086
1684827086.9364436,54.265066384874274,1.086
1684827086.9558787,54.173229303937745,1.086
1684827086.9748437,54.0899187119345,1.086
1684827086.9957538,53.98800670367851,1.086
1684827087.015359,53.904702737143054,1.086
1684827087.0354822,53.81339462612823,1.086
1684827087.0559666,53.73040672221285,1.086
1684827087.07587,53.6486054812884,1.086
1684827087.0954452,53.566024678602446,1.086
1684827087.115816,53.493808541855884,1.086
1684827087.1358426,53.42026327587158,1.086
1684827087.1558723,53.347267237322285,1.086
1684827087.1754227,53.265234620557976,1.086
1684827087.1948504,53.18254292862173,1.086
1684827087.215322,53.1006882872114,1.086
1684827087.2359293,53.01855844277105,1.086
1684827087.2551563,52.93582803651384,1.086
1684827087.2752469,52.853695146450036,1.086
1684827087.2956548,52.78115826601538,1.086
1684827087.3153572,52.70826923150355,1.086
1684827087.335702,52.635398383079576,1.086
1684827087.355482,52.56229790228625,1.086
1684827087.3757498,52.50751332918867,1.086
1684827087.395837,52.44413730190416,1.086
1684827087.4155834,52.37040438597609,1.086
1684827087.4352002,52.306266701791486,1.086
1684827087.4555473,52.243374916306436,1.086
1684827087.4752674,52.17931880884399,1.086
1684827087.4959884,52.125574202135084,1.086
1684827087.5153892,52.06193805726241,1.086
1684827087.5353198,53.88983000000002,1.2750000000000001
1684827087.5559309,53.88983000000002,1.2750000000000001
1684827087.575157,53.88983000000002,1.2750000000000001
1684827087.5957444,53.88983000000002,1.2750000000000001
1684827087.6158633,53.88983000000002,1.2750000000000001
1684827087.6351554,53.88983000000002,1.2750000000000001
1684827087.6554034,53.88983000000002,1.2750000000000001
1684827087.6749144,53.88983000000002,1.2750000000000001
1684827087.6954389,53.88983000000002,1.2750000000000001
1684827087.7154002,53.88983000000002,1.2750000000000001
1684827087.734883,53.845354498233974,1.2750000000000001
1684827087.7552967,53.810286352692515,1.2750000000000001
1684827087.7753685,53.76453976406799,1.2750000000000001
1684827087.7949998,53.727681112499795,1.2750000000000001
1684827087.8150823,53.681261936445395,1.2750000000000001
1684827087.8353596,53.64424463784309,1.2750000000000001
1684827087.8554056,53.60781304490931,1.2750000000000001
1684827087.8753686,53.5711933633668,1.2750000000000001
1684827087.8949099,53.52620410928586,1.2750000000000001
1684827087.9152498,53.490330817524864,1.2750000000000001
1684827087.935361,53.45408969227549,1.2750000000000001
1684827087.9552753,53.41873597819145,1.2750000000000001
1684827087.975708,53.39107106769876,1.2750000000000001
1684827087.9958212,53.34662338070834,1.2750000000000001
1684827088.0152054,53.31061897944221,1.2750000000000001
1684827088.0357473,53.2740186571568,1.2750000000000001
1684827088.0555341,53.23724416090633,1.2750000000000001
1684827088.07554,53.200772707896306,1.2750000000000001
1684827088.096108,53.156430429102045,1.2750000000000001
1684827088.1150448,53.12019441297497,1.2750000000000001
1684827088.135123,53.07571763459924,1.2750000000000001
1684827088.1550171,53.039767933569095,1.2750000000000001
1684827088.1750855,53.00371207561065,1.2750000000000001
1684827088.1953168,52.9486602049455,1.2750000000000001
1684827088.2149625,52.91241364385289,1.2750000000000001
1684827088.2349582,52.87594369592264,1.2750000000000001
1684827088.2557886,52.83982308140352,1.2750000000000001
1684827088.2751784,52.80380444781713,1.2750000000000001
1684827088.2950974,52.75945228122393,1.2750000000000001
1684827088.3154757,52.73129728886752,1.2750000000000001
1684827088.3354547,52.695301548990756,1.2750000000000001
1684827088.3557184,52.667189018071866,1.2750000000000001
1684827088.3755062,52.63198010765731,1.2750000000000001
1684827088.3954024,52.61479011123521,1.2750000000000001
1684827088.4153836,52.579620788141995,1.2750000000000001
1684827088.4351668,52.5427356177197,1.2750000000000001
1684827088.4552183,52.5070693325778,1.2750000000000001
1684827088.475249,52.48031783583619,1.2750000000000001
1684827088.494809,52.444679715851805,1.2750000000000001
1684827088.5152571,52.41755843244164,1.2750000000000001
1684827088.5351284,52.381446714876205,1.2750000000000001
1684827088.5552995,50.99032,1.416
1684827088.5758574,50.99032,1.416
1684827088.5950987,50.99032,1.416
1684827088.6156852,50.99032,1.416
1684827088.6360927,50.99032,1.416
1684827088.6554549,50.99032,1.416
1684827088.675777,50.99032,1.416
1684827088.6958394,50.99032,1.416
1684827088.71509,50.99032,1.416
1684827088.7357392,50.99032,1.416
1684827088.7553432,50.95462822994185,1.416
1684827088.775404,50.9272487302635,1.416
1684827088.795772,50.89128025705321,1.416
1684827088.8154836,50.85560128517099,1.416
1684827088.8356884,50.828076367767494,1.416
1684827088.855423,50.7923336078307,1.416
1684827088.8757236,50.75724204782901,1.416
1684827088.8957257,50.74134638672223,1.416
1684827088.91581,50.70619355810939,1.416
1684827088.935435,50.6797691075179,1.416
1684827088.9552689,50.6638370536497,1.416
1684827088.9751709,50.63779586713164,1.416
1684827088.9958355,50.63090616913141,1.416
1684827089.015428,50.631085656892736,1.416
1684827089.0350764,50.623065604992945,1.416
1684827089.0551841,50.606142169032154,1.416
1684827089.0759242,50.57863759477817,1.416
1684827089.0954986,50.550274214268086,1.416
1684827089.1158183,50.512742642058925,1.416
1684827089.1353948,50.455612738515896,1.416
1684827089.1552372,50.378794460143325,1.416
1684827089.175891,50.31198682760831,1.416
1684827089.1948535,50.234340017279465,1.416
1684827089.215754,50.156725960478326,1.416
1684827089.2358158,50.099162615195326,1.416
1684827089.2552793,50.04242716797543,1.416
1684827089.2758613,49.994863493573035,1.416
1684827089.2954285,49.97022586699555,1.416
1684827089.315554,49.9336446258242,1.416
1684827089.3358583,49.93109032684572,1.416
1684827089.3551993,49.94675204896393,1.416
1684827089.3757358,49.9713562049908,1.416
1684827089.3958645,50.0140848230192,1.416
1684827089.4153461,50.05557694526968,1.416
1684827089.4357061,50.09242593197959,1.416
1684827089.4556866,50.136607199034785,1.416
1684827089.4753842,50.16361034091875,1.416
1684827089.495845,50.179672894295464,1.416
1684827089.515355,50.19575325669388,1.416
1684827089.5356402,50.211929820917305,1.416
1684827089.5560029,50.23575969172367,0.333
1684827089.5750947,50.28690293787835,0.333
1684827089.595628,50.33767522470822,0.333
1684827089.6156983,50.380744485565145,0.333
1684827089.6353188,50.44334417692983,0.333
1684827089.6554325,50.487489750637735,0.333
1684827089.6757033,50.52317882252666,0.333
1684827089.6954606,50.58627355430531,0.333
1684827089.715858,50.64055902192442,0.333
1684827089.735232,50.66793370448255,0.333
1684827089.755856,50.69565032861911,0.333
1684827089.775909,50.703767538496066,0.333
1684827089.7953455,50.73145535567568,0.333
1684827089.8158367,50.75079830208412,0.333
1684827089.835257,50.76988397810919,0.333
1684827089.8555858,50.78974347054418,0.333
1684827089.8758771,50.8096727430671,0.333
1684827089.895209,50.82962925471466,0.333
1684827089.9155035,50.84971322323656,0.333
1684827089.9353168,50.87792258978706,0.333
1684827089.9549172,50.91442037462039,0.333
